stpug_id,min_tt,median_hh_income,pop_density_km2,gwr_intercept,gwr_income_beta,gwr_density_beta,gwr_income_t,gwr_income_significant
293S,78.0,20470.0,57151.128502066946,81.1670621691137,7.226401329646322,-5.644513852712025,1.5901506266071443,False
294,71.0,19330.0,88990.06755944075,76.93414371171974,3.9527686913645006,-4.393923947571292,1.003599016131172,False
295,67.0,15000.0,2672.731150707523,75.35346077462486,2.518860732257332,-3.6489083506268276,0.796222212218502,False
297,75.0,23880.0,79787.85304015694,81.83012995308087,5.973054894874924,-5.140123691294097,1.8832738081577396,False
298,71.0,30840.0,46003.16631767849,82.50194505234983,2.159488907092239,-5.314919117777867,1.0538450885325128,False
320S,73.0,29990.0,20244.81316459408,70.59409329863556,-4.831784436677429,-6.417200659883729,-1.9842682685187845,False
322,75.0,45140.0,6496.598004521756,70.65020898790347,-3.79427729672949,-6.36279628565855,-1.084014359306017,False
323,72.0,40190.0,34427.569858790885,72.43784496400708,-2.088752238350958,-6.897316607941461,-0.5446899547198328,False
325,74.0,20140.0,42276.78137722126,68.73966739732884,-5.1116241965424285,-5.789546987219532,-1.6933994556073952,False
326,66.0,21270.0,77759.92275546672,69.88037627777696,-5.077935435957823,-6.285685061937442,-1.914741725478859,False
327,71.0,21850.0,26758.659161662945,67.82604411659429,-5.085544178729656,-4.940446988607266,-2.3003115802486627,False
328,75.0,25610.0,25771.827448286374,69.20278540263185,-4.983962415120022,-5.563674607827913,-2.365767090873789,False
335,79.0,52100.0,10100.03827241369,70.16276448062271,2.5614304612017094,-6.058026644026876,0.5494284486378753,False
350,82.0,29410.0,16705.324082146668,73.70885009518196,-2.426613399262706,-7.269776451523786,-0.8603539316785864,False
351,88.0,25340.0,16911.744196248575,74.14183822589973,-1.5088006697598573,-7.834721986862513,-0.41283602781000356,False
423S,42.0,20190.0,25664.387400952437,51.95045888503569,7.229616945369475,-13.445031578043983,1.7242844930318098,False
424,34.0,25060.0,59044.06100297528,53.554743965707104,8.023362978792873,-13.051257603608398,1.9316411258116257,False
426,50.0,40400.0,9735.929887040906,55.85121826854382,10.01125797306096,-13.023957092827157,2.3095066155459403,False
442,63.0,33500.0,4763.8616565866805,50.38587537930215,5.857254915309799,-13.3578779233133,1.3960554457623005,False
510,39.0,25250.0,68642.8968951229,48.24066403929352,4.8599571786469875,-12.689081972902013,1.1956241299896169,False
511,47.0,31040.0,2726.3259697504213,48.53650875976497,4.065056333170061,-12.948271001078428,0.9692377272260868,False
512,51.0,29790.0,4704.026430307823,49.464344158369116,4.618322914986624,-13.305130326963177,1.0972894223539793,False
514,60.0,21390.0,1219.9080928576311,47.58977719996984,5.137506881640669,-12.383854934362295,1.249821800448974,False
515,46.0,21590.0,20227.493558720547,49.065367873035974,3.8260752848099386,-13.31116748147614,0.9045526785927598,False
517,57.0,26080.0,2735.8921283201057,48.662567052039776,4.3467361433429765,-12.93558238346653,1.0667283424314906,False
518,61.0,28350.0,4287.242247502252,50.24616010359017,4.485242991601206,-13.171682115954129,1.0974571352804563,False
519,59.0,40070.0,3764.727016833767,50.39065350854929,5.091993579082077,-13.110176199363613,1.247540110485456,False
521,61.0,29040.0,6242.482048006774,48.122888451547084,1.9238295652773179,-14.26876327396305,0.4461288279858381,False
522,83.0,29750.0,1903.469175600525,53.205564451586326,5.473834461392819,-12.563081390492032,1.3525030135906424,False
523,78.0,21940.0,5664.856660123888,50.14968746439604,3.09402950018956,-13.275022934980354,0.7434986938126485,False
524,43.0,30080.0,38382.721529559414,48.74226403956746,3.1586521890944965,-13.215035729151651,0.7578776733447922,False
525,57.0,26500.0,879.8408203797655,47.91485767135967,2.646976859989037,-13.27886530731535,0.6193857454260998,False
526,62.0,40070.0,1472.7685052879383,47.67453140571129,1.2278939487123477,-14.000997586099253,0.275310534883532,False
527,47.0,27240.0,44405.63654160034,49.018403682291726,3.243481488230506,-13.27148291139443,0.773386545001061,False
528,67.0,27620.0,4326.603133133235,47.794745965534275,3.814650835964409,-12.883260508741252,0.9140264899549636,False
529,54.0,40140.0,26924.475882000726,49.831496257362545,3.67825164988451,-13.195882669758795,0.8968828971505467,False
531,78.0,32600.0,1316.1391965553005,61.69088030070427,2.348028095728125,-6.058479992694146,0.5896660716042044,False
532,63.0,27170.0,1170.119309335236,43.875106383494476,8.004789699035872,-16.02557585267633,2.1929573128215125,False
533,79.0,30000.0,719.9178376387875,58.51894887484421,0.4470182840143053,-7.343077472253643,0.10229308281713054,False
541,55.0,53970.0,2672.471114214013,46.47989904539957,4.508376809394555,-12.881330531289526,1.0563269123974466,False
543S,41.0,45000.0,444.20478416416233,42.286463715398774,10.762505579993547,-13.856365508309086,2.813809507579595,False
544,60.0,22040.0,755.349562045528,44.63547199759613,8.8116350470736,-14.039569157574022,2.323105860024518,False
545,42.0,15870.0,1544.7206061026643,40.41892647455538,11.737301021216531,-13.22142076500231,3.24946131054563,True
