from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
292,HYW,95,98,101
293S,LW,76,78,79
293S,LMC,81,83,84
293S,HG,97,101,106
293S,SB,109,110,114
293S,MKT,92,94,97
293S,HYW,98,100,103
294,LW,70,71,72
294,LMC,75,76,77
294,HG,92,97,101
294,SB,106,109,111
294,MKT,83,84,85
294,HYW,92,93,94
295,LW,66,67,68
295,LMC,71,72,73
295,HG,87,93,100
295,SB,103,106,108
295,MKT,79,80,81
295,HYW,88,89,90
297,LW,75,75,77
297,LMC,80,80,82
297,HG,93,98,105
297,SB,112,114,116
297,MKT,88,89,90
297,HYW,96,97,99
298,LW,70,71,72
298,LMC,75,76,77
298,HG,94,100,104
298,SB,106,109,112
298,MKT,83,84,85
298,HYW,92,93,94
320S,LW,72,73,75
320S,LMC,77,78,80
320S,HG,93,96,99
320S,SB,90,93,96
320S,MKT,102,106,109
320S,HYW,101,103,107
322,LW,75,78,81
322,LMC,80,83,86
322,HG,71,75,78
322,SB,77,81,83
322,MKT,95,98,102
322,HYW,87,91,95
323,LW,71,72,74
323,LMC,76,77,79
323,HG,70,73,77
323,SB,71,73,75
323,MKT,82,86,90
323,HYW,81,85,89
325,LW,73,75,76
325,LMC,78,80,81
325,HG,81,85,88
325,SB,82,84,86
325,MKT,85,87,88
325,HYW,89,92,94
326,LW,64,66,68
326,LMC,69,71,73
326,HG,80,82,84
326,SB,79,81,83
326,MKT,83,84,86
326,HYW,88,90,92
327,LW,69,71,73
327,LMC,74,76,78
327,HG,92,95,97
327,SB,89,91,93
327,MKT,81,82,84
327,HYW,89,91,93
328,LW,73,75,76
328,LMC,78,80,81
328,HG,85,89,92
328,SB,82,85,88
328,MKT,94,97,102
328,HYW,94,97,100
335,LW,91,93,96
335,LMC,96,99,101
335,HG,88,91,94
335,SB,75,79,85
335,MKT,109,111,114
335,HYW,96,101,106
350,LW,80,82,83
350,LMC,85,87,88
350,HG,108,111,114
350,SB,96,100,103
350,MKT,101,104,108
350,HYW,108,111,114
351,LW,86,88,89
351,LMC,91,93,94
351,HG,94,97,100
351,SB,95,96,99
351,MKT,92,95,99
351,HYW,100,103,106
423S,LW,56,58,59
423S,LMC,61,63,64
423S,HG,62,67,74
423S,SB,40,43,45
423S,MKT,59,60,63
423S,HYW,68,69,72
424,LW,56,57,58
424,LMC,61,62,63
424,HG,60,67,72
424,SB,32,34,37
424,MKT,58,60,61
424,HYW,67,69,70
426,LW,73,75,77
426,LMC,78,80,82
426,HG,76,82,86
426,SB,48,51,53
426,MKT,75,77,79
426,HYW,83,85,88
442,LW,88,93,98
442,LMC,93,98,103
442,HG,79,83,87
442,SB,58,63,68
442,MKT,92,97,101
442,HYW,87,92,96
510,LW,60,63,66
510,LMC,65,68,71
510,HG,55,59,63
510,SB,35,39,41
510,MKT,67,69,72
510,HYW,68,71,77
511,LW,82,85,89
511,LMC,87,90,94
511,HG,73,77,80
511,SB,44,47,52
511,MKT,87,91,94
511,HYW,85,89,93
512,LW,72,75,78
512,LMC,77,80,83
512,HG,66,69,72
512,SB,48,51,54
512,MKT,77,79,82
512,HYW,75,79,83
514,LW,83,87,92
514,LMC,88,92,97
514,HG,73,77,81
514,SB,56,60,65
514,MKT,89,92,96
514,HYW,81,86,92
515,LW,67,69,72
515,LMC,72,74,77
515,HG,61,63,66
515,SB,43,45,49
515,MKT,72,74,77
515,HYW,70,75,79
517,LW,66,69,71
517,LMC,71,74,76
517,HG,64,66,69
517,SB,54,57,60
517,MKT,72,74,77
517,HYW,73,77,80
518,LW,70,74,78
518,LMC,75,79,83
518,HG,58,61,64
518,SB,60,64,68
518,MKT,75,78,82
518,HYW,67,71,76
519,LW,72,76,79
519,LMC,77,81,84
519,HG,62,65,68
519,SB,56,58,63
519,MKT,77,80,84
519,HYW,71,76,80
521,LW,66,70,73
521,LMC,71,75,78
521,HG,59,61,65
521,SB,65,69,73
521,MKT,71,73,77
521,HYW,70,74,78
522,LW,91,95,99
522,LMC,96,101,105
522,HG,79,83,87
522,SB,79,83,88
522,MKT,96,99,103
522,HYW,87,90,95
523,LW,84,92,101
523,LMC,89,98,108
523,HG,68,78,85
523,SB,72,81,89
523,MKT,88,96,105
523,HYW,77,84,94
524,LW,50,52,55
524,LMC,55,57,60
524,HG,41,43,46
524,SB,45,49,52
524,MKT,55,58,61
524,HYW,57,63,66
525,LW,65,69,73
525,LMC,70,74,78
525,HG,54,58,62
525,SB,64,67,71
525,MKT,71,74,78
525,HYW,67,72,76
526,LW,73,77,79
526,LMC,78,82,84
526,HG,58,62,65
526,SB,67,71,74
526,MKT,78,81,83
526,HYW,71,75,80
527,LW,56,59,62
527,LMC,61,64,67
527,HG,46,48,50
527,SB,43,46,50
527,MKT,61,64,67
527,HYW,59,65,70
528,LW,80,84,89
528,LMC,85,89,94
528,HG,67,71,75
528,SB,62,68,72
528,MKT,85,89,94
528,HYW,74,80,86
529,LW,60,65,68
529,LMC,65,70,73
529,HG,50,54,57
529,SB,54,58,61
529,MKT,65,70,73
529,HYW,60,69,73
531,LW,74,78,83
531,LMC,79,83,88
531,HG,77,81,84
531,SB,82,86,89
531,MKT,79,83,88
531,HYW,85,89,92
532,LW,58,63,68
532,LMC,63,68,73
532,HG,77,80,85
532,SB,87,93,99
532,MKT,60,65,70
532,HYW,70,75,79
533,LW,80,83,87
533,LMC,85,88,92
533,HG,76,79,83
533,SB,83,86,90
533,MKT,93,97,100
533,HYW,87,90,93
541,LW,57,63,71
541,LMC,62,68,76
541,HG,52,56,60
541,SB,75,79,83
541,MKT,63,70,78
541,HYW,72,76,81
543S,LW,57,62,68
543S,LMC,62,67,73
543S,HG,36,41,46
543S,SB,76,81,86
543S,MKT,63,68,74
543S,HYW,72,77,82
544,LW,55,62,71
544,LMC,60,67,76
