stpug_id,stpug_name_en,is_composite,group_size,stpug_name_zh,population,median_hh_income,median_emp_income,area_km2,pop_density_km2,min_tt,nearest_bcp,bcps_within_45,bcps_within_60,bcps_within_75,bcps_within_90
442,442,False,1,442,8349.0,33500.0,20000.0,1.7525697851566244,4763.8616565866805,63.0,SB,0,0,1,2
510,510,False,1,510,277731.0,25250.0,16500.0,4.046026793192245,68642.8968951229,39.0,SB,1,2,6,6
511,511,False,1,511,8904.0,31040.0,20000.0,3.2659337506934683,2726.3259697504213,47.0,SB,0,1,1,5
512,512,False,1,512,12509.0,29790.0,18000.0,2.659211249198154,4704.026430307823,51.0,SB,0,1,3,6
514,514,False,1,514,5055.0,21390.0,19000.0,4.143754787427204,1219.9080928576313,60.0,SB,0,1,1,4
515,515,False,1,515,23150.0,21590.0,17100.0,1.1444818871302762,20227.493558720547,46.0,SB,0,1,6,6
517,517,False,1,517,8619.0,26080.0,20000.0,3.1503435061572564,2735.8921283201057,57.0,SB,0,1,5,6
518,518,False,1,518,3205.0,28350.0,20000.0,0.7475668075129726,4287.242247502252,61.0,HG,0,0,4,6
519,519,False,1,519,15420.0,40070.0,22000.0,4.095914506164811,3764.727016833767,59.0,SB,0,1,3,6
521,521,False,1,521,11614.0,29040.0,20000.0,1.8604779173867794,6242.482048006774,61.0,HG,0,0,5,6
522,522,False,1,522,24644.0,29750.0,20000.0,12.94688682953065,1903.469175600525,83.0,HG,0,0,0,2
523,523,False,1,523,14074.0,21940.0,17000.0,2.4844406212552266,5664.856660123888,78.0,HG,0,0,0,3
524,524,False,1,524,75487.0,30080.0,20000.0,1.9666922248300118,38382.721529559414,43.0,HG,1,5,6,6
525,525,False,1,525,1678.0,26500.0,16500.0,1.9071631608041613,879.8408203797655,57.0,HG,0,1,6,6
526,526,False,1,526,10643.0,40070.0,30000.0,7.226526070992539,1472.7685052879385,62.0,HG,0,0,3,6
527,527,False,1,527,66490.0,27240.0,18500.0,1.4973324374645651,44405.63654160034,47.0,SB,0,3,6,6
528,528,False,1,528,5568.0,27620.0,20000.0,1.2869218249670547,4326.603133133235,67.0,SB,0,0,2,6
529,529,False,1,529,22376.0,40140.0,24070.0,0.8310653881644757,26924.475882000726,54.0,HG,0,2,6,6
531,531,False,1,531,19402.0,32600.0,20000.0,14.741601838757171,1316.1391965553003,78.0,LW,0,0,0,6
532,532,False,1,532,13029.0,27170.0,20000.0,11.134761982008474,1170.119309335236,63.0,LW,0,0,4,5
533,533,False,1,533,6996.0,30000.0,20000.0,9.717775604707521,719.9178376387875,79.0,HG,0,0,0,5
541,541,False,1,541,19141.0,53970.0,28750.0,7.1622850844655295,2672.471114214013,55.0,HG,0,1,4,6
543S,543 and 546,True,2,543 及 546,3337.0,45000.0,30000.0,7.512300900313498,444.20478416416233,41.0,HG,1,1,4,6
544,544,False,1,544,3477.0,22040.0,21250.0,4.603166765045965,755.349562045528,60.0,HG,0,1,4,6
545,545,False,1,545,1218.0,15870.0,20000.0,0.7884921034833726,1544.7206061026643,42.0,LW,2,4,5,5
547,547,False,1,547,14297.0,23760.0,18000.0,7.630717050375338,1873.6116023718587,36.0,LW,3,5,5,5
548S,548 - 549,True,2,548 - 549,1106.0,11240.0,13000.0,2.4308354103517367,454.98761260844236,44.0,LW,1,4,5,5
610S,"610, 621 and 632",True,3,"610, 621 及 632",2937.0,31940.0,23000.0,11.450231036801469,256.5013745626942,40.0,LW,3,4,5,5
620S,"620, 622 and 641",True,3,"620, 622 及 641",5321.0,17000.0,14500.0,16.796268766475073,316.7965501135931,21.0,LW,3,4,4,5
623,623,False,1,623,4421.0,22550.0,17000.0,1.2536156189977077,3526.599328376814,41.0,LW,2,4,5,5
624S,624 and 629,True,2,624 及 629,53612.0,23100.0,17000.0,4.189100227938216,12797.975002471274,27.0,LW,4,5,5,6
