tpu_id,old_min_tt,old_nearest_bcp,new_min_tt,new_nearest_bcp,min_tt_change,abs_min_tt_change,nearest_changed
174,90.0,LW,81.0,LW,-9.0,9.0,False
175,79.0,LW,79.0,LW,0.0,0.0,False
181,103.0,LW,102.0,LW,-1.0,1.0,False
182,104.0,LW,103.0,LW,-1.0,1.0,False
184,99.0,LW,99.0,LW,0.0,0.0,False
190,95.0,LW,95.0,LW,0.0,0.0,False
191,87.0,LW,85.0,LW,-2.0,2.0,False
192,87.0,LW,85.0,LW,-2.0,2.0,False
193,104.0,LW,102.0,LW,-2.0,2.0,False
195,96.0,LW,96.0,LW,0.0,0.0,False
211,68.0,LW,68.0,LW,0.0,0.0,False
212,65.0,LW,65.0,LW,0.0,0.0,False
213,64.0,LW,65.0,LW,1.0,1.0,False
214,60.0,LW,60.0,LW,0.0,0.0,False
215,59.0,LW,59.0,LW,0.0,0.0,False
216,66.0,LW,66.0,LW,0.0,0.0,False
217,59.0,LW,59.0,LW,0.0,0.0,False
220,59.0,LW,59.0,LW,0.0,0.0,False
221,60.0,LW,60.0,LW,0.0,0.0,False
222,58.0,LW,58.0,LW,0.0,0.0,False
225,65.0,LW,65.0,LW,0.0,0.0,False
226,68.0,LW,68.0,LW,0.0,0.0,False
227,60.0,LW,60.0,LW,0.0,0.0,False
228,61.0,LW,61.0,LW,0.0,0.0,False
229,59.0,LW,59.0,LW,0.0,0.0,False
231,60.0,LW,60.0,LW,0.0,0.0,False
232,63.0,LW,64.0,LW,1.0,1.0,False
233,65.0,LW,66.0,LW,1.0,1.0,False
234,58.0,LW,59.0,LW,1.0,1.0,False
235,67.0,LW,67.0,LW,0.0,0.0,False
236,66.0,LW,66.0,LW,0.0,0.0,False
237,62.0,LW,62.0,LW,0.0,0.0,False
241,51.0,LW,51.0,LW,0.0,0.0,False
242,58.0,LW,58.0,LW,0.0,0.0,False
243,61.0,LW,61.0,LW,0.0,0.0,False
244,59.0,LW,60.0,LW,1.0,1.0,False
245,63.0,LW,62.0,LW,-1.0,1.0,False
246,60.0,LW,60.0,LW,0.0,0.0,False
247,60.0,LW,60.0,LW,0.0,0.0,False
251,72.0,LW,68.0,LW,-4.0,4.0,False
252,74.0,LW,72.0,LW,-2.0,2.0,False
253,63.0,LW,62.0,LW,-1.0,1.0,False
254,67.0,LW,67.0,LW,0.0,0.0,False
255,66.0,LW,66.0,LW,0.0,0.0,False
256,74.0,LW,70.0,LW,-4.0,4.0,False
260,68.0,LW,61.0,LW,-7.0,7.0,False
261,75.0,LW,75.0,LW,0.0,0.0,False
262,72.0,LW,72.0,LW,0.0,0.0,False
263,66.0,LW,66.0,LW,0.0,0.0,False
264,65.0,LW,65.0,LW,0.0,0.0,False
265,63.0,LW,63.0,LW,0.0,0.0,False
266,62.0,LW,62.0,LW,0.0,0.0,False
267,59.0,LW,59.0,LW,0.0,0.0,False
268,56.0,LW,56.0,LW,0.0,0.0,False
269,88.0,LW,88.0,LW,0.0,0.0,False
271,50.0,LW,50.0,LW,0.0,0.0,False
272,56.0,LW,56.0,LW,0.0,0.0,False
280,67.0,LW,67.0,LW,0.0,0.0,False
281,62.0,LW,62.0,LW,0.0,0.0,False
282,58.0,LW,58.0,LW,0.0,0.0,False
283,62.0,LW,62.0,LW,0.0,0.0,False
284,58.0,LW,58.0,LW,0.0,0.0,False
285,62.0,LW,62.0,LW,0.0,0.0,False
286,74.0,LW,74.0,LW,0.0,0.0,False
287,60.0,LW,60.0,LW,0.0,0.0,False
288,74.0,LW,74.0,LW,0.0,0.0,False
290,81.0,LW,80.0,LW,-1.0,1.0,False
291,68.0,LW,66.0,LW,-2.0,2.0,False
292,74.0,LW,74.0,LW,0.0,0.0,False
293,77.0,LW,75.0,LW,-2.0,2.0,False
294,76.0,LW,71.0,LW,-5.0,5.0,False
295,70.0,LW,67.0,LW,-3.0,3.0,False
296,80.0,LW,79.0,LW,-1.0,1.0,False
297,80.0,LW,75.0,LW,-5.0,5.0,False
298,78.0,LW,71.0,LW,-7.0,7.0,False
320,84.0,LW,69.0,LW,-15.0,15.0,False
321,73.0,LW,73.0,LW,0.0,0.0,False
322,75.0,HG,76.0,HG,1.0,1.0,False
323,74.0,LW,72.0,LW,-2.0,2.0,False
324,70.0,LW,64.0,LW,-6.0,6.0,False
325,77.0,LW,75.0,LW,-2.0,2.0,False
326,81.0,LW,66.0,LW,-15.0,15.0,False
327,71.0,LW,71.0,LW,0.0,0.0,False
328,80.0,LW,74.0,LW,-6.0,6.0,False
329,86.0,LW,71.0,LW,-15.0,15.0,False
334,87.0,SB,85.0,SB,-2.0,2.0,False
335,80.0,SB,79.0,SB,-1.0,1.0,False
336,66.0,SB,66.0,SB,0.0,0.0,False
350,95.0,LW,82.0,LW,-13.0,13.0,False
351,88.0,LW,88.0,LW,0.0,0.0,False
421,66.0,SB,66.0,SB,0.0,0.0,False
423,40.0,SB,40.0,SB,0.0,0.0,False
424,35.0,SB,35.0,SB,0.0,0.0,False
426,51.0,SB,51.0,SB,0.0,0.0,False
427,63.0,SB,63.0,SB,0.0,0.0,False
428,55.0,SB,55.0,SB,0.0,0.0,False
442,64.0,SB,63.0,SB,-1.0,1.0,False
510,38.0,SB,39.0,SB,1.0,1.0,False
511,47.0,SB,47.0,SB,0.0,0.0,False
512,51.0,SB,51.0,SB,0.0,0.0,False
514,60.0,SB,60.0,SB,0.0,0.0,False
515,46.0,SB,45.0,SB,-1.0,1.0,False
517,56.0,SB,57.0,SB,1.0,1.0,False
518,61.0,HG,61.0,HG,0.0,0.0,False
519,59.0,SB,59.0,SB,0.0,0.0,False
521,62.0,HG,62.0,HG,0.0,0.0,False
522,82.0,HG,82.0,HG,0.0,0.0,False
523,79.0,HG,79.0,HG,0.0,0.0,False
524,43.0,HG,43.0,HG,0.0,0.0,False
525,57.0,HG,57.0,HG,0.0,0.0,False
526,62.0,HG,62.0,HG,0.0,0.0,False
527,46.0,SB,47.0,SB,1.0,1.0,False
528,69.0,SB,67.0,SB,-2.0,2.0,False
529,53.0,HG,54.0,HG,1.0,1.0,False
531,78.0,LW,79.0,LW,1.0,1.0,False
532,63.0,LW,62.0,LW,-1.0,1.0,False
533,80.0,HG,80.0,HG,0.0,0.0,False
541,56.0,HG,55.0,HG,-1.0,1.0,False
543,44.0,HG,43.0,HG,-1.0,1.0,False
544,61.0,LW,61.0,LW,0.0,0.0,False
545,41.0,LW,41.0,LW,0.0,0.0,False
546,51.0,LW,51.0,LW,0.0,0.0,False
547,36.0,LW,36.0,LW,0.0,0.0,False
548,41.0,LW,41.0,LW,0.0,0.0,False
549,42.0,LW,42.0,LW,0.0,0.0,False
621,33.0,LW,33.0,LW,0.0,0.0,False
622,54.0,LW,52.0,LW,-2.0,2.0,False
623,41.0,LW,41.0,LW,0.0,0.0,False
624,21.0,LW,21.0,LW,0.0,0.0,False
625,24.0,LW,24.0,LW,0.0,0.0,False
626,22.0,LW,22.0,LW,0.0,0.0,False
627,21.0,LW,20.0,LW,-1.0,1.0,False
628,22.0,LW,21.0,LW,-1.0,1.0,False
629,36.0,MKT,36.0,MKT,0.0,0.0,False
631,40.0,LW,41.0,LW,1.0,1.0,False
634,44.0,LW,44.0,LW,0.0,0.0,False
722,45.0,LW,45.0,LW,0.0,0.0,False
723,33.0,LW,33.0,LW,0.0,0.0,False
725,36.0,LW,36.0,LW,0.0,0.0,False
726,30.0,LW,29.0,LW,-1.0,1.0,False
727,46.0,LW,46.0,LW,0.0,0.0,False
728,52.0,LW,43.0,LW,-9.0,9.0,False
729,43.0,LW,44.0,LW,1.0,1.0,False
751,57.0,LW,57.0,LW,0.0,0.0,False
753,60.0,LW,60.0,LW,0.0,0.0,False
754,50.0,LW,50.0,LW,0.0,0.0,False
755,46.0,LW,45.0,LW,-1.0,1.0,False
756,57.0,LW,57.0,LW,0.0,0.0,False
757,74.0,LW,71.0,LW,-3.0,3.0,False
758,47.0,LW,47.0,LW,0.0,0.0,False
759,53.0,LW,52.0,LW,-1.0,1.0,False
820,104.0,LW,103.0,LW,-1.0,1.0,False
822,80.0,LW,80.0,LW,0.0,0.0,False
825,98.0,LW,97.0,LW,-1.0,1.0,False
826,82.0,LW,82.0,LW,0.0,0.0,False
827,98.0,LW,97.0,LW,-1.0,1.0,False
828,80.0,LW,79.0,LW,-1.0,1.0,False
831,87.0,LW,87.0,LW,0.0,0.0,False
835,107.0,LW,100.0,LW,-7.0,7.0,False
836,80.0,LW,79.0,LW,-1.0,1.0,False
837,85.0,LW,84.0,LW,-1.0,1.0,False
838,89.0,LW,76.0,LW,-13.0,13.0,False
839,96.0,LW,91.0,LW,-5.0,5.0,False
951,96.0,SB,95.0,SB,-1.0,1.0,False
971,113.0,SB,113.0,SB,0.0,0.0,False
972,112.0,SB,111.0,SB,-1.0,1.0,False
975,91.0,HG,89.0,LW,-2.0,2.0,True
