area_id,min_tt,nearest_bcp,bcps_within_45,bcps_within_60,bcps_within_75,bcps_within_90
264,65.0,LW,0,0,2,6
265,63.0,LW,0,0,2,6
266,62.0,LW,0,0,2,6
267,59.0,LW,0,1,3,6
268,56.0,LW,0,1,3,6
269,88.0,LW,0,0,0,1
271,50.0,LW,0,2,6,6
272,56.0,LW,0,1,3,6
280,67.0,LW,0,0,2,4
281,62.0,LW,0,0,2,4
282,58.0,LW,0,1,3,4
283,62.0,LW,0,0,2,4
284,58.0,LW,0,1,3,4
285,62.0,LW,0,0,3,4
286,74.0,LW,0,0,1,3
287,60.0,LW,0,1,3,4
288,74.0,LW,0,0,1,2
290,80.0,LW,0,0,0,2
291,66.0,LW,0,0,2,4
292,74.0,LW,0,0,1,2
293,75.0,LW,0,0,1,2
294,71.0,LW,0,0,1,3
295,67.0,LW,0,0,2,4
296,79.0,LW,0,0,0,2
297,75.0,LW,0,0,1,3
298,71.0,LW,0,0,1,3
320,69.0,LW,0,0,2,5
321,73.0,LW,0,0,1,6
322,76.0,HG,0,0,0,4
323,72.0,LW,0,0,3,6
324,64.0,LW,0,0,5,6
325,75.0,LW,0,0,1,5
326,66.0,LW,0,0,2,6
327,71.0,LW,0,0,1,3
328,74.0,LW,0,0,1,4
329,71.0,LW,0,0,1,4
334,85.0,SB,0,0,0,1
335,79.0,SB,0,0,0,1
336,66.0,SB,0,0,1,1
350,82.0,LW,0,0,0,2
351,88.0,LW,0,0,0,1
421,66.0,SB,0,0,1,3
423,40.0,SB,1,4,6,6
424,35.0,SB,1,3,6,6
426,51.0,SB,0,1,2,6
427,63.0,SB,0,0,1,2
428,55.0,SB,0,1,4,6
442,63.0,SB,0,0,1,2
510,39.0,SB,1,2,6,6
511,47.0,SB,0,1,1,6
512,51.0,SB,0,1,3,6
514,60.0,SB,0,1,1,4
515,45.0,SB,1,1,6,6
517,57.0,SB,0,1,5,6
518,61.0,HG,0,0,4,6
519,59.0,SB,0,1,4,6
521,62.0,HG,0,0,5,6
522,82.0,HG,0,0,0,2
523,79.0,HG,0,0,0,3
524,43.0,HG,1,5,6,6
525,57.0,HG,0,1,6,6
526,62.0,HG,0,0,3,6
527,47.0,SB,0,3,6,6
528,67.0,SB,0,0,2,6
529,54.0,HG,0,2,6,6
531,79.0,LW,0,0,0,6
532,62.0,LW,0,0,4,5
533,80.0,HG,0,0,0,5
541,55.0,HG,0,1,4,6
543,43.0,HG,1,1,4,6
544,61.0,LW,0,0,4,6
545,41.0,LW,2,4,5,5
546,51.0,LW,0,4,5,5
547,36.0,LW,3,5,5,5
548,41.0,LW,2,4,5,5
549,42.0,LW,1,4,5,5
621,33.0,LW,3,5,5,6
622,52.0,LW,0,3,4,5
623,41.0,LW,2,4,5,5
624,21.0,LW,4,5,5,6
625,24.0,LW,4,5,5,6
626,22.0,LW,5,5,5,6
627,20.0,LW,5,5,5,6
628,21.0,LW,4,5,5,6
629,36.0,MKT,2,4,5,5
631,41.0,LW,1,4,5,5
634,44.0,LW,1,4,5,5
722,45.0,LW,1,3,4,4
723,33.0,LW,3,4,5,5
725,36.0,LW,2,4,4,4
726,29.0,LW,4,4,5,5
727,46.0,LW,0,3,4,4
728,43.0,LW,1,4,4,4
729,44.0,LW,1,4,4,4
751,57.0,LW,0,1,4,4
753,60.0,LW,0,1,3,4
754,50.0,LW,0,2,4,4
755,45.0,LW,1,3,4,4
756,57.0,LW,0,1,4,4
757,71.0,LW,0,0,1,4
758,47.0,LW,0,3,4,5
759,52.0,LW,0,2,4,4
820,103.0,LW,0,0,0,0
822,80.0,LW,0,0,0,2
825,97.0,LW,0,0,0,0
826,82.0,LW,0,0,0,2
827,97.0,LW,0,0,0,0
828,79.0,LW,0,0,0,2
831,87.0,LW,0,0,0,1
832,100.0,LW,0,0,0,0
835,100.0,LW,0,0,0,0
836,79.0,LW,0,0,0,2
837,84.0,LW,0,0,0,2
838,76.0,LW,0,0,0,2
839,91.0,LW,0,0,0,0
951,95.0,SB,0,0,0,0
971,113.0,SB,0,0,0,0
972,111.0,SB,0,0,0,0
975,89.0,LW,0,0,0,2
