id,lon,lat,snap_lat_1600,snap_lon_1600,distance_1600,found_1600,snap_lat_5000,snap_lon_5000,distance_5000,found_5000,stable_route,classification
232,114.175607609535,22.322910134849,22.3228971,114.1755584,5.26227205989829,TRUE,22.3228971,114.1755584,5.26227205989829,TRUE,TRUE,stable_route
233,114.181443452615,22.3246412830966,22.3245613,114.1814555,8.97462757962336,TRUE,22.3245613,114.1814555,8.97462757962336,TRUE,TRUE,stable_route
234,114.180661809779,22.3204962723756,22.3202433,114.1802521,50.6411911178237,TRUE,22.3202433,114.1802521,50.6411911178237,TRUE,TRUE,stable_route
235,114.175852222888,22.3171339350946,22.3170557,114.1756359,23.8789966164939,TRUE,22.3170557,114.1756359,23.8789966164939,TRUE,TRUE,stable_route
236,114.180235511347,22.3124235216041,22.3124251,114.1801336,10.4791933929842,TRUE,22.3124251,114.1801336,10.4791933929842,TRUE,TRUE,stable_route
237,114.183157651063,22.3160170782153,22.3160478,114.1832614,11.1994804120995,TRUE,22.3160478,114.1832614,11.1994804120995,TRUE,TRUE,stable_route
241,114.187404382997,22.3185742441843,22.318574,114.1874642,6.14970391246845,TRUE,22.318574,114.1874642,6.14970391246845,TRUE,TRUE,stable_route
242,114.190890170835,22.3190703775437,22.3188904,114.1908274,21.0167229907314,TRUE,22.3188904,114.1908274,21.0167229907314,TRUE,TRUE,stable_route
243,114.186472673494,22.3090662513405,22.308942,114.1864711,13.8093678382228,TRUE,22.308942,114.1864711,13.8093678382228,TRUE,TRUE,stable_route
244,114.19018487593,22.3108350200547,22.3108331,114.1902452,6.20578782424905,TRUE,22.3108331,114.1902452,6.20578782424905,TRUE,TRUE,stable_route
245,114.189407816394,22.304928290024,22.3050071,114.1894498,9.76436627213295,TRUE,22.3050071,114.1894498,9.76436627213295,TRUE,TRUE,stable_route
246,114.187099514432,22.3243808467592,22.3244126,114.1871109,3.7178844339834,TRUE,22.3244126,114.1871109,3.7178844339834,TRUE,TRUE,stable_route
247,114.193336354043,22.3181276143584,22.3181194,114.1933305,1.09342349113151,TRUE,22.3181194,114.1933305,1.09342349113151,TRUE,TRUE,stable_route
251S,114.161176037372,22.3028983247337,22.3028241,114.1611769,8.24929174234303,TRUE,22.3028241,114.1611769,8.24929174234303,TRUE,TRUE,stable_route
252,114.163767041862,22.3095214226775,22.3095301,114.1638258,6.11765925641233,TRUE,22.3095301,114.1638258,6.11765925641233,TRUE,TRUE,stable_route
253,114.163149297487,22.3152646493592,22.3152811,114.1631582,2.04451991758066,TRUE,22.3152811,114.1631582,2.04451991758066,TRUE,TRUE,stable_route
254,114.157017057193,22.3206299669528,22.3205966,114.1570825,7.68215063196298,TRUE,22.3205966,114.1570825,7.68215063196298,TRUE,TRUE,stable_route
255,114.151381227322,22.3300385580539,22.3300375,114.151382,0.141899207201867,TRUE,22.3300375,114.151382,0.141899207201867,TRUE,TRUE,stable_route
260,114.139585004306,22.336582150316,22.3364308,114.1395298,17.7514754736749,TRUE,22.3364308,114.1395298,17.7514754736749,TRUE,TRUE,stable_route
261,114.151123744312,22.3419502025781,22.3422431,114.1512123,33.7993704360229,TRUE,22.3422431,114.1512123,33.7993704360229,TRUE,TRUE,stable_route
262,114.159749183069,22.3410304871968,22.3408734,114.1597112,17.8888333405078,TRUE,22.3408734,114.1597112,17.8888333405078,TRUE,TRUE,stable_route
263,114.166308725222,22.34026870006,22.3404342,114.1663087,18.3924996285169,TRUE,22.3404342,114.1663087,18.3924996285169,TRUE,TRUE,stable_route
264,114.154380603738,22.3358767348364,22.3358922,114.1543908,2.01307138426955,TRUE,22.3358922,114.1543908,2.01307138426955,TRUE,TRUE,stable_route
265,114.158015838104,22.3318483157708,22.3318995,114.157966,7.65532010376497,TRUE,22.3318995,114.157966,7.65532010376497,TRUE,TRUE,stable_route
266,114.160879511723,22.3289018654136,22.3289466,114.1609087,5.80680771799834,TRUE,22.3289466,114.1609087,5.80680771799834,TRUE,TRUE,stable_route
267,114.165162716124,22.328350917857,22.3283532,114.1651611,0.303192490623715,TRUE,22.3283532,114.1651611,0.303192490623715,TRUE,TRUE,stable_route
268,114.171992517796,22.3343387866489,22.3343472,114.171996,1.00117892208049,TRUE,22.3343472,114.171996,1.00117892208049,TRUE,TRUE,stable_route
269,114.141058836356,22.3229883471022,22.3230339,114.141097,6.40477671169498,TRUE,22.3230339,114.141097,6.40477671169498,TRUE,TRUE,stable_route
271,114.178637102477,22.3374724585597,22.3373258,114.1786305,16.3127256275372,TRUE,22.3373258,114.1786305,16.3127256275372,TRUE,TRUE,stable_route
272,114.182624788439,22.3370286279149,22.3368212,114.1826047,23.1443836176382,TRUE,22.3368212,114.1826047,23.1443836176382,TRUE,TRUE,stable_route
280,114.20953697054,22.3243580127677,22.3243418,114.2094224,11.9152536130458,TRUE,22.3243418,114.2094224,11.9152536130458,TRUE,TRUE,stable_route
281,114.199393067552,22.3461701978265,22.3460393,114.1992839,18.3719581197054,TRUE,22.3460393,114.1992839,18.3719581197054,TRUE,TRUE,stable_route
282,114.186026458825,22.3440042374272,22.3440101,114.1860311,0.807509967476048,TRUE,22.3440101,114.1860311,0.807509967476048,TRUE,TRUE,stable_route
283,114.192137205184,22.3363962251725,22.3363192,114.1923389,22.4307058827921,TRUE,22.3363192,114.1923389,22.4307058827921,TRUE,TRUE,stable_route
284,114.197783325531,22.3360709547386,22.336047,114.1977703,2.97991704498912,TRUE,22.336047,114.1977703,2.97991704498912,TRUE,TRUE,stable_route
285,114.189473228515,22.3300491055114,22.3300529,114.1893802,9.57254687452098,TRUE,22.3300529,114.1893802,9.57254687452098,TRUE,TRUE,stable_route
286,114.203735988365,22.3211078941256,22.3211231,114.2047059,99.7268148669807,TRUE,22.3211231,114.2047059,99.7268148669807,TRUE,TRUE,stable_route
287,114.206156064005,22.3353869411362,22.3354413,114.2063664,22.4496140276103,TRUE,22.3354413,114.2063664,22.4496140276103,TRUE,TRUE,stable_route
288S,114.21496593675,22.3449148561247,22.3453296,114.2153049,57.7786103977763,TRUE,22.3453296,114.2153049,57.7786103977763,TRUE,TRUE,stable_route
290,114.230996785551,22.3037299945153,22.3035568,114.2298377,120.719877950661,TRUE,22.3035568,114.2298377,120.719877950661,TRUE,TRUE,stable_route
291,114.215665383604,22.3285673601191,22.3284759,114.2156863,10.389180533044,TRUE,22.3284759,114.2156863,10.389180533044,TRUE,TRUE,stable_route
292,114.225610098395,22.3280859830456,22.3280751,114.2257279,12.1703245940466,TRUE,22.3280751,114.2257279,12.1703245940466,TRUE,TRUE,stable_route
293S,114.235357798628,22.3221664187333,22.3211562,114.2351888,113.604992880586,TRUE,22.3211562,114.2351888,113.604992880586,TRUE,TRUE,stable_route
294,114.225455211049,22.3167987297716,22.3166878,114.2255052,13.3563094710475,TRUE,22.3166878,114.2255052,13.3563094710475,TRUE,TRUE,stable_route
295,114.221746379273,22.311525119668,22.3113928,114.2216072,20.5182552298534,TRUE,22.3113928,114.2216072,20.5182552298534,TRUE,TRUE,stable_route
297,114.238427283545,22.3088731538252,22.3091307,114.2384114,28.6684211306263,TRUE,22.3091307,114.2384114,28.6684211306263,TRUE,TRUE,stable_route
298,114.239514742952,22.2948116454997,22.2948135,114.2395078,0.743063192356911,TRUE,22.2948135,114.2395078,0.743063192356911,TRUE,TRUE,stable_route
320S,114.12281411957,22.3488725529705,22.3489206,114.1229304,13.0904439111926,TRUE,22.3489206,114.1229304,13.0904439111926,TRUE,TRUE,stable_route
322,114.114192703911,22.381095726469,22.3810019,114.1141406,11.7215650855361,TRUE,22.3810019,114.1141406,11.7215650855361,TRUE,TRUE,stable_route
323,114.103561985004,22.376282865987,22.3761827,114.1035478,11.2267835120964,TRUE,22.3761827,114.1035478,11.2267835120964,TRUE,TRUE,stable_route
325,114.130223997896,22.3749689319611,22.3751236,114.1299949,29.1504200292774,TRUE,22.3751236,114.1299949,29.1504200292774,TRUE,TRUE,stable_route
326,114.126321700188,22.3629219924672,22.3629184,114.1263246,0.498211282067717,TRUE,22.3629184,114.1263246,0.498211282067717,TRUE,TRUE,stable_route
327,114.139993940323,22.3613277286353,22.3615044,114.1394238,61.7986673117136,TRUE,22.3615044,114.1394238,61.7986673117136,TRUE,TRUE,stable_route
328,114.132297574353,22.3501069798303,22.3501069,114.1322718,2.64921582991046,TRUE,22.3501069,114.1322718,2.64921582991046,TRUE,TRUE,stable_route
335,114.06292915763,22.3698454643885,22.3697533,114.0628537,12.8469956383073,TRUE,22.3697533,114.0628537,12.8469956383073,TRUE,TRUE,stable_route
350,114.104347705864,22.3402869388419,22.3406153,114.1047938,58.6029020536612,TRUE,22.3406153,114.1047938,58.6029020536612,TRUE,TRUE,stable_route
