from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
283,HG,96.0,99.0,101.0,5,0.4472135954999579,1.0
283,HYW,85.0,86.0,87.0,5,0.0,0.0
283,LMC,66.0,67.0,68.0,5,0.0,0.0
283,LW,61.0,62.0,63.0,5,0.0,0.0
283,MKT,76.0,77.0,78.0,5,0.0,0.0
283,SB,98.0,100.0,102.0,5,0.5477225575051661,1.0
284,HG,91.0,94.0,97.0,5,0.7071067811865476,2.0
284,HYW,76.0,78.0,79.0,5,0.0,0.0
284,LMC,62.0,63.0,64.0,5,0.0,0.0
284,LW,57.0,58.0,59.0,5,0.0,0.0
284,MKT,67.0,68.0,70.0,5,0.5477225575051661,1.0
284,SB,96.0,98.0,100.0,5,0.0,0.0
285,HG,90.0,93.0,96.0,5,0.0,0.0
285,HYW,80.0,82.0,84.0,5,0.4472135954999579,1.0
285,LMC,66.0,67.0,68.0,5,0.0,0.0
285,LW,61.0,62.0,63.0,5,0.0,0.0
285,MKT,71.0,73.0,75.0,5,0.0,0.0
285,SB,94.0,96.0,98.0,5,0.4472135954999579,1.0
286,HG,87.0,91.0,94.0,5,0.4472135954999579,1.0
286,HYW,94.0,96.0,98.0,5,0.5477225575051661,1.0
286,LMC,78.0,79.0,81.0,5,0.0,0.0
286,LW,73.0,74.0,76.0,5,0.0,0.0
286,MKT,85.0,87.0,90.0,5,0.8366600265340756,2.0
286,SB,92.0,95.0,98.0,5,0.8366600265340756,2.0
287,HG,89.0,92.0,96.0,5,0.4472135954999579,1.0
287,HYW,80.0,81.0,82.0,5,0.0,0.0
287,LMC,64.0,65.0,66.0,5,0.4472135954999579,1.0
287,LW,59.0,60.0,61.0,5,0.4472135954999579,1.0
287,MKT,71.0,72.0,74.0,5,0.4472135954999579,1.0
287,SB,95.0,97.0,99.0,5,0.4472135954999579,1.0
288S,HYW,111.0,114.0,117.0,5,0.7071067811865476,2.0
288S,LMC,91.0,94.0,97.0,5,0.0,0.0
288S,LW,86.0,89.0,92.0,5,0.0,0.0
290,HG,94.0,98.0,103.0,5,0.5477225575051661,1.0
290,HYW,100.0,103.0,105.0,5,0.5477225575051661,1.0
290,LMC,83.0,85.0,87.0,5,0.5477225575051661,1.0
290,LW,78.0,80.0,82.0,5,0.5477225575051661,1.0
290,MKT,95.0,97.0,100.0,5,0.4472135954999579,1.0
290,SB,103.0,108.0,113.0,5,0.5477225575051661,1.0
291,HG,85.0,92.0,98.0,5,1.0,2.0
291,HYW,87.0,88.0,89.0,5,0.0,0.0
291,LMC,70.0,71.0,72.0,5,0.0,0.0
291,LW,65.0,66.0,67.0,5,0.0,0.0
291,MKT,78.0,79.0,81.0,5,0.0,0.0
291,SB,102.0,104.0,106.0,5,0.0,0.0
292,HG,95.0,101.0,106.0,5,0.8366600265340756,2.0
292,HYW,95.0,98.0,102.0,5,0.5477225575051661,1.0
292,LMC,77.0,79.0,80.0,5,0.4472135954999579,1.0
292,LW,72.0,74.0,75.0,5,0.4472135954999579,1.0
292,MKT,94.0,96.0,98.0,5,0.0,0.0
292,SB,110.0,112.0,115.0,5,0.5477225575051661,1.0
293S,HG,96.0,101.0,106.0,5,1.140175425099138,3.0
293S,HYW,98.0,100.0,103.0,5,0.4472135954999579,1.0
293S,LMC,81.0,83.0,84.0,5,0.0,0.0
293S,LW,76.0,78.0,79.0,5,0.0,0.0
293S,MKT,92.0,94.0,97.0,5,0.5477225575051661,1.0
293S,SB,109.0,111.0,114.0,5,0.7071067811865476,2.0
294,HG,91.0,96.0,101.0,5,0.8366600265340756,2.0
294,HYW,92.0,93.0,94.0,5,0.0,0.0
294,LMC,75.0,76.0,77.0,5,0.4472135954999579,1.0
294,LW,70.0,71.0,72.0,5,0.4472135954999579,1.0
294,MKT,83.0,84.0,85.0,5,0.0,0.0
294,SB,106.0,109.0,111.0,5,0.5477225575051661,1.0
295,HG,87.0,93.0,100.0,5,1.140175425099138,3.0
295,HYW,88.0,89.0,90.0,5,0.0,0.0
295,LMC,71.0,72.0,73.0,5,0.0,0.0
295,LW,66.0,67.0,68.0,5,0.0,0.0
295,MKT,79.0,80.0,82.0,5,0.4472135954999579,1.0
295,SB,103.0,106.0,108.0,5,0.5477225575051661,1.0
297,HG,93.0,99.0,105.0,5,1.0,2.0
297,HYW,96.0,98.0,99.0,5,0.5477225575051661,1.0
297,LMC,80.0,80.0,82.0,5,0.0,0.0
297,LW,75.0,75.0,77.0,5,0.0,0.0
297,MKT,88.0,89.0,90.0,5,0.0,0.0
297,SB,112.0,115.0,117.0,5,0.5477225575051661,1.0
298,HG,93.0,98.0,103.0,5,1.0954451150103321,3.0
