area_id,lon,lat,min_tt_6,gateways_60_6,hsr_runs_present,hsr_p50,hsr_run_sd,hsr_run_range,min_tt_7,gateways_60_7,stable_6,stable_7,hsr_is_nearest,time_reduction
272,114.182624788439,22.3370286279149,56.0,1.0,5.0,30.0,0.44721359549995787,1.0,30.0,2.0,True,True,True,26.0
280,114.20953697054,22.3243580127677,67.0,0.0,5.0,32.0,0.0,0.0,32.0,1.0,True,True,True,35.0
281,114.199393067552,22.3461701978265,62.0,0.0,5.0,35.0,0.44721359549995765,1.0,35.0,1.0,True,True,True,27.0
282,114.186026458825,22.3440042374272,58.0,1.0,5.0,31.0,0.0,0.0,31.0,2.0,True,True,True,27.0
283,114.192137205184,22.3363962251725,62.0,0.0,5.0,32.0,0.5477225575051664,1.0,32.0,1.0,True,True,True,30.0
284,114.197783325531,22.3360709547386,58.0,1.0,5.0,31.0,0.0,0.0,31.0,2.0,True,True,True,27.0
285,114.189473228515,22.3300491055114,62.0,0.0,5.0,28.0,0.5477225575051664,1.0,28.0,1.0,True,True,True,34.0
286,114.203735988365,22.3211078941256,74.0,0.0,5.0,27.0,0.44721359549995815,1.0,27.0,1.0,True,True,True,47.0
287,114.206156064005,22.3353869411362,60.0,1.0,5.0,29.0,0.5477225575051664,1.0,29.0,2.0,True,True,True,31.0
288,114.212216756957,22.344372613737,74.0,0.0,5.0,49.0,0.547722557505166,1.0,49.0,1.0,True,True,True,25.0
289,114.219549334906,22.3458187626803,,,,,,,,0.0,False,False,False,
290,114.230996785551,22.3037299945153,80.0,0.0,5.0,41.0,0.547722557505166,1.0,41.0,1.0,True,True,True,39.0
291,114.215665383604,22.3285673601191,66.0,0.0,5.0,35.0,0.44721359549995865,1.0,35.0,1.0,True,True,True,31.0
292,114.225610098395,22.3280859830456,74.0,0.0,5.0,39.0,0.5477225575051664,1.0,39.0,1.0,True,True,True,35.0
293,114.234385510876,22.319289292336,75.0,0.0,5.0,38.0,0.44721359549995865,1.0,38.0,1.0,True,True,True,37.0
294,114.225455211049,22.3167987297716,71.0,0.0,5.0,38.0,0.547722557505166,1.0,38.0,1.0,True,True,True,33.0
295,114.221746379273,22.311525119668,67.0,0.0,5.0,36.0,0.44721359549995815,1.0,36.0,1.0,True,True,True,31.0
296,114.236405271049,22.3252658862059,79.0,0.0,5.0,46.0,0.44721359549995765,1.0,46.0,1.0,True,True,True,33.0
297,114.238427283545,22.3088731538252,75.0,0.0,5.0,39.0,0.5477225575051667,1.0,39.0,1.0,True,True,True,36.0
298,114.239514742952,22.2948116454997,71.0,0.0,5.0,39.0,0.44721359549995715,1.0,39.0,1.0,True,True,True,32.0
310,114.13164135283,22.3986785360548,,,,,,,,0.0,False,False,False,
320,114.130919831072,22.337927623323,69.0,0.0,5.0,29.0,0.44721359549995815,1.0,29.0,1.0,True,True,True,40.0
321,114.127158446842,22.381794382176,73.0,0.0,5.0,50.0,0.0,0.0,50.0,1.0,True,True,True,23.0
322,114.114192703911,22.381095726469,76.0,0.0,5.0,50.0,0.0,0.0,50.0,1.0,True,True,True,26.0
323,114.103561985004,22.376282865987,72.0,0.0,5.0,43.0,0.0,0.0,43.0,1.0,True,True,True,29.0
324,114.114825747895,22.3695101941041,64.0,0.0,5.0,33.0,0.0,0.0,33.0,1.0,True,True,True,31.0
325,114.130223997896,22.3749689319611,75.0,0.0,5.0,47.0,0.5477225575051652,1.0,47.0,1.0,True,True,True,28.0
326,114.126321700188,22.3629219924672,66.0,0.0,5.0,39.0,0.5477225575051664,1.0,39.0,1.0,True,True,True,27.0
327,114.139993940323,22.3613277286353,71.0,0.0,5.0,53.0,0.547722557505166,1.0,53.0,1.0,True,True,True,18.0
