"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"245","WKS",19,21,23,2
"246","WKS",21,23,26,2
"247","WKS",23,25,27,2
"251","WKS",13,13,13,2
"252","WKS",12,12,12,2
"253","WKS",16,18,20,2
"254","WKS",22,23,24,2
"255","WKS",20,22,24,2
"256","WKS",15,17,18,2
"260","WKS",21,22,24,2
"261","WKS",33,34,36,2
"262","WKS",29,31,32,2
"263","WKS",32,34,36,2
"264","WKS",19,21,23,2
"265","WKS",16,18,20,2
"266","WKS",17,17,19,2
"267","WKS",12,13,15,2
"268","WKS",25,27,28,2
"269","WKS",34,37,41,2
"271","WKS",23,24,25,2
"272","WKS",29,30,31,2
"280","WKS",29,32,34,2
"281","WKS",32,35,36,2
"282","WKS",30,31,32,2
"283","WKS",30,32,34,2
"284","WKS",29,31,33,2
"285","WKS",26,28,29,2
"286","WKS",24,27,30,2
"287","WKS",27,29,32,2
"288","WKS",47,49,50,2
"290","WKS",38,41,44,2
"291","WKS",33,35,37,2
"292","WKS",37,39,41,2
"293","WKS",37,39,42,2
"294","WKS",36,38,40,2
"295","WKS",34,36,39,2
"296","WKS",44,46,48,2
"297","WKS",36,39,42,2
"298","WKS",36,39,44,2
"320","WKS",27,29,30,2
"321","WKS",48,50,52,2
"322","WKS",48,50,52,2
"323","WKS",42,43,45,2
"324","WKS",32,33,35,2
"325","WKS",46,47,49,2
"326","WKS",38,39,41,2
"327","WKS",51,53,56,2
"328","WKS",38,40,41,2
"329","WKS",41,43,46,2
"334","WKS",58,61,64,2
"335","WKS",57,58,60,2
"336","WKS",56,58,59,2
"350","WKS",53,54,56,2
"351","WKS",54,56,58,2
"421","WKS",85,90,95,2
"423","WKS",58,60,62,2
"424","WKS",57,59,61,2
"426","WKS",62,63,65,2
"427","WKS",67,69,71,2
"428","WKS",75,77,79,2
"442","WKS",79,82,86,2
"510","WKS",48,50,52,2
"511","WKS",75,77,80,2
"512","WKS",68,71,73,2
"514","WKS",75,77,81,2
"515","WKS",63,64,66,2
"517","WKS",65,68,71,2
"518","WKS",59,62,64,2
"519","WKS",60,61,64,2
"521","WKS",54,56,59,2
