"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"627","LW",19,20,21,18
"627","LMC",24,25,26,18
"627","HG",38,43,49,18
"627","SB",75,78,80,18
"627","MKT",25,27,29,18
"627","HYW",34,36,39,18
"728","LW",42,43,45,18
"728","LMC",47,48,50,18
"728","MKT",53,55,58,18
"728","HYW",54,59,63,18
"835","LW",94,101,105,18
"835","LMC",100,106,111,18
"838","LW",75,76,77,18
"838","LMC",80,81,82,18
"838","HG",105,110,116,18
"838","MKT",94,96,97,18
"838","HYW",103,104,106,18
"971","SB",106,112,117,18
"284","LW",57,58,59,19
"284","LMC",62,63,64,19
"284","HG",92,95,98,19
"284","SB",96,98,100,19
"284","MKT",67,69,70,19
"284","HYW",77,78,79,19
"421","LW",83,87,91,19
"421","LMC",88,92,96,19
"421","HG",89,96,103,19
"421","SB",63,67,72,19
"421","MKT",85,88,93,19
"421","HYW",95,98,102,19
"622","LW",48,55,66,19
"622","LMC",53,60,71,19
"622","HG",69,77,87,19
"622","SB",102,111,,19
"622","MKT",50,57,68,19
"622","HYW",60,67,77,19
"627","LW",19,20,21,19
"627","LMC",24,25,26,19
"627","HG",38,43,48,19
"627","SB",75,78,81,19
"627","MKT",25,27,29,19
"627","HYW",35,37,39,19
"728","LW",42,43,45,19
"728","LMC",47,48,50,19
"728","MKT",53,55,57,19
"728","HYW",55,59,63,19
"835","LW",95,100,105,19
"835","LMC",101,106,112,19
"838","LW",75,76,77,19
"838","LMC",80,81,82,19
"838","HG",105,111,116,19
"838","MKT",95,96,97,19
"838","HYW",103,104,106,19
"971","SB",107,113,118,19
"284","LW",57,58,59,20
"284","LMC",62,63,64,20
"284","HG",91,95,98,20
"284","SB",96,98,100,20
"284","MKT",67,68,70,20
"284","HYW",76,77,79,20
"421","LW",83,87,94,20
"421","LMC",88,92,99,20
"421","HG",87,94,104,20
"421","SB",63,67,72,20
"421","MKT",85,89,95,20
"421","HYW",94,98,104,20
"622","LW",46,52,62,20
"622","LMC",51,57,67,20
"622","HG",67,74,87,20
"622","SB",101,107,119,20
"622","MKT",50,55,66,20
"622","HYW",59,65,75,20
"627","LW",19,20,21,20
"627","LMC",24,25,26,20
"627","HG",39,43,48,20
"627","SB",75,78,81,20
"627","MKT",26,27,29,20
"627","HYW",35,37,39,20
"728","LW",42,43,45,20
"728","LMC",47,48,50,20
"728","MKT",53,55,57,20
"728","HYW",55,60,63,20
"835","LW",94,100,105,20
"835","LMC",100,105,112,20
"838","LW",75,76,77,20
"838","LMC",80,81,82,20
"838","HG",105,111,117,20
"838","MKT",95,96,97,20
"838","HYW",103,105,106,20
"971","SB",107,113,117,20
"284","LW",57,58,59,21
"284","LMC",62,63,64,21
"284","HG",91,94,97,21
"284","SB",96,98,100,21
"284","MKT",67,69,70,21
"284","HYW",77,78,79,21
"421","LW",83,87,93,21
"421","LMC",88,92,99,21
"421","HG",90,95,100,21
"421","SB",62,66,72,21
"421","MKT",85,89,94,21
"421","HYW",94,98,103,21
"622","LW",46,52,62,21
"622","LMC",51,57,67,21
"622","HG",66,76,85,21
"622","SB",102,109,118,21
"622","MKT",49,55,64,21
"622","HYW",59,64,74,21
"627","LW",19,20,21,21
"627","LMC",24,25,26,21
"627","HG",39,43,48,21
"627","SB",76,78,81,21
"627","MKT",25,27,29,21
"627","HYW",35,37,39,21
"728","LW",42,43,45,21
"728","LMC",47,48,50,21
"728","MKT",53,55,56,21
"728","HYW",55,59,63,21
"835","LW",96,101,105,21
"835","LMC",101,107,111,21
"838","LW",75,76,77,21
"838","LMC",80,81,82,21
"838","HG",105,110,116,21
"838","MKT",94,95,97,21
"838","HYW",103,104,105,21
"971","SB",108,113,118,21
"284","LW",57,58,59,22
"284","LMC",62,63,64,22
"284","HG",90,94,98,22
"284","SB",96,98,100,22
"284","MKT",67,69,70,22
"284","HYW",77,78,80,22
"421","LW",83,88,92,22
"421","LMC",88,93,98,22
"421","HG",90,97,104,22
"421","SB",62,66,72,22
"421","MKT",85,89,94,22
"421","HYW",95,98,103,22
"622","LW",46,53,64,22
"622","LMC",51,58,69,22
"622","HG",68,77,86,22
"622","SB",102,108,119,22
"622","MKT",50,57,67,22
"622","HYW",59,66,76,22
"627","LW",19,20,21,22
"627","LMC",24,25,26,22
"627","HG",38,45,49,22
